,元春,可卿,司棋,妙玉,娇杏,宝玉,宝珠,宝蟾,宝钗,小红,尤三姐,尤二姐,尤氏,巧姐,平儿,惜春,探春,晴雯,李纨,李纹,李绮,柳五儿,湘云,熙凤,玉钏,王夫人,瑞珠,秦钟,紫鹃,茜雪,莺儿,薛姨妈,薛宝琴,薛蟠,袭人,贾政,贾敬,贾母,贾环,贾珍,贾琏,贾瑞,贾蓉,贾赦,赵姨娘,迎春,邢夫人,邢岫烟,金钏,香菱,鸳鸯,麝月,黛玉
尤三姐,0,0,0,0,0,4,0,0,1,0,13,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,1,1,0,4,7,0,2,0,0,0,0,0,0,0,3,0,0
尤二姐,0,0,0,0,0,5,0,0,1,0,4,30,9,0,8,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,6,0,8,18,0,5,3,0,1,3,0,0,0,4,0,1
尤氏,1,0,2,0,0,33,1,0,9,0,3,9,92,0,15,4,15,5,0,1,1,0,8,0,0,34,0,5,1,0,0,11,0,3,8,7,3,37,3,32,16,1,18,10,4,8,23,1,0,4,12,0,7
巧姐,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
平儿,1,0,5,0,0,39,0,0,16,1,0,8,15,0,144,6,29,12,0,0,0,0,11,0,2,22,0,1,3,0,0,8,0,1,30,4,0,29,2,1,34,1,0,4,8,9,11,1,2,9,19,0,9
惜春,3,0,3,0,0,20,0,0,12,1,0,1,4,1,6,28,22,3,0,1,1,0,7,0,0,10,0,0,3,0,0,6,0,0,3,3,0,12,3,2,2,0,1,3,2,19,4,2,2,6,4,0,13
探春,4,0,9,0,0,68,0,0,47,1,0,1,15,1,29,22,132,10,0,2,1,2,26,1,1,34,0,0,4,0,0,15,0,1,20,5,0,37,5,4,2,0,1,3,17,34,8,2,2,16,13,0,34
晴雯,1,0,5,1,0,88,0,0,12,0,0,0,5,0,12,3,10,101,0,0,0,0,4,0,1,21,0,0,5,1,0,8,0,1,54,7,0,18,1,1,2,0,0,1,7,10,4,0,0,7,4,0,15
李纨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
李纹,0,0,0,1,0,4,0,0,5,0,0,0,1,0,0,1,2,0,0,7,3,0,4,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,1,1,1,0,1,0,0,2,2,2,0,1,0,0,4
李绮,0,0,0,1,0,3,0,0,3,0,0,0,1,0,0,1,1,0,0,3,3,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,1,0,0,2,1,2,0,1,0,0,3
柳五儿,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
湘云,1,0,2,1,0,61,0,0,37,0,0,0,8,0,11,7,26,4,0,4,3,0,121,0,0,15,0,0,6,0,0,12,0,0,15,3,0,28,4,2,2,0,2,1,3,11,4,4,0,14,12,0,43
熙凤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
